ipc_sections,description,
127,"Receiving property taken by war or depredation mentioned in sections 125 and 126.—
Whoever receives any property knowing the same to have been taken in the commission of any of the
offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description
for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the
property so received.",
128,"Public servant voluntarily allowing prisoner of state or war to escape.—Whoever, being a
public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such
prisoner to escape from any place in which such prisoner is confined, shall be punished with
2
[imprisonment for life], or imprisonment of either description for a term which may extend to ten years,
and shall also be liable to fine.",
129,"Public servant negligently suffering such prisoner to escape.—Whoever, being a public
servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner
to escape from any place of confinement in which such prisoner is confined, shall be punished with
simple imprisonment for a term which may extend to three years, and shall also be liable to fine.",
130,"Aiding escape of, rescuing or harbouring such prisoner.—Whoever knowingly aids or assists
any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue
any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or
offers or attempts to offer any resistance to the recapture of such prisoner, shall be punished with
2
[imprisonment for life], or with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine.
Explanation.—A State prisoner or prisoner of war, who is permitted to be at large on his parole
within certain limits in 3 [India], is said to escape from lawful custody if he goes beyond the limits within
which he is allowed to be at large.",
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.—
Whoever abets the committing of mutiny by an officer, soldier, 5 [sailor or airman], in the Army, 6 [Navy
or Air Force] of the 1 [Government of India] or attempts to seduce any such officer, soldier, 5 [sailor or
airman] from his allegiance or his duty, shall be punished with 2 [imprisonment for life], or with
imprisonment of either description for a term which may extend to ten years, and shall also be liable to
fine.
[Explanation.—In this section the words “officer”, 8 [“soldier”, 9 [“sailor”] and “airman”] include any
7
Any person subject to the 1 [Army Act, 2 [the Army Act, 1950 (46 of 1950)], 3 [the Naval Discipline Act, 4 ***the
4
***the 5 Indian Navy (Discipline) Act,1934 (34 of 1934)] 6 [the Air Force Act or 7 [the Air Force Act,
1950 (45 of 1950)]], as the case may be].]",
132,"Abetment of mutiny, if mutiny is committed in consequence thereof.—Whoever abets the
committing of mutiny by an officer, soldier, 8 [sailor or airman], in the Army, 9 [Navy or Air Force] of the
10
[Government of India], shall, if mutiny be committed in consequence of that abetment, be punished with
death or with 11 [imprisonment for life], or imprisonment of either description for a term which may
extend to ten years, and shall also be liable to fine.",
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution
of his office.—Whoever abets an assault by an officer, soldier, 8 [sailor or airman], in the Army, 9 [Navy or
Air Force] of the 10 [Government of India], on any superior officer being in the execution of his office,
shall be punished with imprisonment of either description for a term which may extend to three years, and
shall also be liable to fine.",
134,"Abetment of such assault, if the assault committed.—Whoever abets an assault by an officer,
soldier, 8 [sailor or airman], in the Army, 9 [Navy or Air Force] of the 10 [Government of India], on any
superior officer being in the execution of his office, shall, if such assault be committed in consequence of
that abetment be punished with imprisonment of either description for a term which may extend to seven
years, and shall also be liable to fine.",
135,"Abetment of desertion of soldier, sailor or airman.—Whoever, abets the desertion of any
officer, soldier, 8 [sailor or airman], in the Army, 9 [Navy or Air Force] of the 10 [Government of India],
shall be punished with imprisonment of either description for a term which may extend to two years, or
with fine, or with both.",
136,"Harbouring deserter.—Whoever, except as hereinafter excepted, knowing or having reason to
believe that an officer, soldier, 8 [sailor or airman], in the Army, 9 [Navy or Air Force] of the
10
[Government of India], has deserted, harbours such officer, soldier, 8 [sailor or airman], shall be
punished with imprisonment of either description for a term which may extend to two years, or with fine
or with both.
Exception.—This provision does not extend to the case in which the harbour is given by a wife to her
Husband.",
137,"Deserter concealed on board merchant vessel through negligence of master.—The master or
person in charge of a merchant vessel, on board of which any deserter from the Army, 9 [Navy or Air
Force] of the 10 [Government of India] is concealed, shall, though ignorant of such concealment, be liable
to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some
neglect of his duty as such master or person in charge, or but for some want of discipline on board of the
Vessel.",
138,"Abetment of act of insubordination by soldier, sailor or airman.—Whoever abets what he
knows to be an act of insubordination by an officer, soldier, 8 [sailor or airman], in the Army, 9 [Navy or air
Force], of the 10 [Government of India], shall, if such act of insubordination be committed in consequence
of that abetment, be punished with imprisonment of either description for a term which may extend to six
months, or with fine, or with both.",
139,"Persons subject to certain Acts.—No person subject to 2 [the Army Act, 3 [the Army Act, 1950
(46 of 1950)], the Naval Discipline Act, 4 [ 5 *** 6 [the Indian Navy (Discipline) Act, 1934 (34 of 1934)],
7
[the Air Force Act or 8 [the Air Force Act, 1950 (45 of 1950)]]], is subject to punishment under this Code
Code for any of the offences defined in this Chapter.",
140,"Wearing garb or carrying token used by soldier, sailor or airman.—Whoever, not being a
soldier, 9 [sailor or airman] in the Military, 10 [Naval or Air] service of the 11 [Government of India], wears
any garb or carries any token resembling any garb or token used by such a soldier, 9 [sailor or airman] with
the intention that it may be believed that he is such a soldier, 9 [sailor or airman], shall be punished with
imprisonment of either description for a term which may extend to three months, or with fine which may
extend to five hundred rupees, or with both.",
141,"Unlawful assembly.—An assembly of five or more persons is designated an “unlawful
assembly”, if the common object of the persons composing that assembly is—
First.—To overawe by criminal force, or show of criminal force, 12 [the Central or any State
Government or Parliament or the Legislature of any State], or any public servant in the exercise of the
lawful power of such public servant; or
Second.—To resist the execution of any law, or of any legal process; or
Third.—To commit any mischief or criminal trespass, or other offence; or
Fourth.—By means of criminal force, or show of criminal force, to any person, to take or obtain
possession of any property, or to deprive any person of the enjoyment of a right of way, or of the use of
water or other incorporeal right of which he is in possession or enjoyment, or to enforce any right or
supposed right; or
Fifth.—By means of criminal force, or show of criminal force, to compel any person to do what he is
not legally bound to do, or to omit to do what he is legally entitled to do.
Explanation.—An assembly which was not unlawful when it assembled, may subsequently become
an unlawful assembly.",
142,"Being member of unlawful assembly.—Whoever, being aware of facts which render any
assembly an unlawful assembly, intentionally joins that assembly, or continues in it, is said to be a
member of an unlawful assembly",
143,"Punishment.—Whoever is a member of an unlawful assembly, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine, or with both.",
144,"Joining unlawful assembly armed with deadly weapon.—Whoever, being armed with any
deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a
member of an unlawful assembly, shall be punished with imprisonment of either description for a term
which may extend to two years, or with fine, or with both.",
145,"Joining or continuing in unlawful assembly, knowing it has been commanded to
disperse.—Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly
has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment
of either description for a term which may extent to two years, or with fine, or with both.",
146,"Rioting.—Whenever force or violence is used by an unlawful assembly, or by any member
thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty
of the offence of rioting.",
147,"Punishment for rioting.—Whoever is guilty of rioting, shall be punished with imprisonment of
either description for a term which may extend to two years, or with fine, or with both.",
148,"Rioting, armed with deadly weapon.—Whoever is guilty of rioting, being armed with a deadly
weapon or with anything which, used as a weapon of offence, is likely to cause death, shall be punished
with imprisonment of either description for a term which may extend to three years, or with fine, or with
Both.",
149,"Every member of unlawful assembly guilty of offence committed in prosecution of common
object.—If an offence is committed by any member of an unlawful assembly in prosecution of the
common object of that assembly, or such as the members of that assembly knew to be likely to be
committed in prosecution of that object, every person who, at the time of the committing of that offence,
is a member of the same assembly, is guilty of that offence.",
150,"Hiring, or conniving at hiring, of persons to join unlawful assembly.—Whoever hires or
engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to
join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful
assembly, and for any offence which may be committed by any such person as a member of such
unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he
had been a member of such unlawful assembly, or himself had committed such offence.",
151,"Knowingly joining or continuing in assembly of five or more persons after it has been
commanded to disperse.—Whoever knowingly joins or continues in any assembly of five or more
persons likely to cause a disturbance of the public peace, after such assembly has been lawfully
commanded to disperse, shall be punished with imprisonment of either description for a term which may
extend to six months, or with fine, or with both.
Explanation.—If the assembly is an unlawful assembly within the meaning of section 141, the
offender will be punishable under section 145.",
152,"Assaulting or obstructing public servant when suppressing riot, etc.—Whoever assaults or
threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as
such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or
uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with
imprisonment of either description for a term which may extend to three years, or with fine, or with both.",
153,"Wantonly giving provocation with intent to cause riot—if rioting be committed; if not
committed.—Whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to
any person intending or knowing it to be likely that such provocation will cause the offence of rioting to
be committed, shall, if the offence of rioting be committed in consequence of such provocation, be
punished with imprisonment of either description for a term which may extend to one year, or with fine,
or with both; and if the offence of rioting be not committed, with imprisonment of either description for a
term which may extend to six months, or with fine, or with both.",
153A,"Promoting enmity between different groups on ground of religion, race, place of birth,
residence, language, etc., and doing acts prejudicial to maintenance of harmony.—(1) Whoever—
(a) by words, either spoken or written, or by signs or by visible representations or otherwise,
promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language,
caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-
will between different religious, racials, language or regional groups or castes or communities, or (b) commits any act which is prejudicial to the maintenance of harmony between different
religious, racial, language or regional groups or castes or communities, and which disturbs or is likely
to disturb the public tranquillity, 1 [or]
1
[(c) organizes any exercise, movement, drill or other similar activity intending that the
participants in such activity shall use or be trained to use criminal force or violence or knowing it to
be likely that the participants in such activity will use or be trained to use criminal force or violence,
or participates in such activity intending to use or be trained to use criminal force or violence or
knowing it to be likely that the participants in such activity will use or be trained to use criminal force
or violence, against any religious, racial, language or regional group or caste or community and such
activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity
amongst members of such religious, racial, language or regional group or caste or community,]
shall be punished with imprisonment which may extend to three years, or with fine, or with both.
(2) Offence committed in place of worship, etc.—Whoever commits an offence specified in
sub-section (1) in any place of worship or in any assembly engaged in the performance of religious
worship or religious ceremonies, shall be punished with imprisonment which may extend to five years
and shall also be liable to fine.]",
153AA,"Punishment for knowingly carrying arms in any procession or organising, or holding
or taking part in any mass drill or mass training with arms.—Whoever knowingly carries arms in any
procession or organizes or holds or takes part in any mass drill or mass training with arms in any public
place in contravention of any public notice or order issued or made under section 144A of the Code of
Criminal Procedure, 1973 (2 of 1974) shall be punished with imprisonment for a term which may extend
to six months and with fine which may extend to two thousand rupees.
Explanation.—“Arms” means articles of any description designed or adapted as weapons for offence
or defence and includes firearms, sharp edged weapons, lathis, dandas and sticks].",
153B,"Imputations, assertions prejudicial to national integration.—(1) Whoever, by words
either spoken or written or by signs or by visible representations or otherwise,—
(a) makes or publishes any imputation that any class of persons cannot, by reason of their being
members of any religious, racial, language or regional group or caste or community, bear true faith
and allegiance to the Constitution of India as by law established or uphold the sovereignty and
integrity of India, or
(b) asserts, counsels, advises, propagates or publishes that any class of persons shall, by reason of
their being members of any religious, racial, language or regional group or caste or community, be
denied, or deprived of their rights as citizens of India, or
(c) makes or publishes and assertion, counsel, plea or appeal concerning the obligation of any
class of persons, by reason of their being members of any religious, racial, language or regional group
or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause
disharmony or feelings of enmity or hatred or ill-will between such members and other persons,
shall be punished with imprisonment which may extend to three years, or with fine, or with both.
(2) Whoever commits an offence specified in sub-section (1) in any place of worship or in any
assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with
imprisonment which may extend to five years and shall also be liable to fine.",
154,"Owner or occupier of land on which an unlawful assembly is held.—Whenever any unlawful
assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is
held, or such riot is committed, and any person having or claiming an interest in such land, shall be
punishable with fine not exceeding one thousand rupees, if he or his agent or manager, knowing that such
offence is being or has been committed, or having reason to believe it is likely to be committed, do not
give the earliest notice thereof in his or their power to the principal officer at the nearest police-station, and do not, in the case of his or their having reason to believe that it was about to be committed, use all
lawful means in his or their power to prevent it and, in the event of its taking place, do not use all lawful
means in his or their power to disperse or suppress the riot or unlawful assembly.",
155,"Liability of person for whose benefit riot is committed.—Whenever a riot is committed for
the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot
takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the
riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if
he or his agent or manager, having reason to believe that such riot was likely to be committed or that the
unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all
lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing
and dispersing the same.",
156,"Liability of agent of owner or occupier for whose benefit riot is committed.—Whenever a
riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land
respecting which such riot takes place, or who claims any interest in such land, or in the subject of any
dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom,
the agent or manager of such person shall be punishable with fine, if such agent or manager, having
reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such
riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot
or assembly from taking place and for suppressing and dispersing the same",
157,"Harbouring persons hired for an unlawful assembly.—Whoever harbours, receives or
assembles, in any house or premises in his occupation or charge, or under his control any persons
knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or
employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of
either description for a term which may extend to six months, or with fine, or with both.",
158,"Being hired to take part in an unlawful assembly or riot.—Whoever is engaged, or hired, or
offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141,
shall be punished with imprisonment of either description for a term which may extend to six months, or
with fine, or with both,
or to go armed.—and whoever, being so engaged or hired as aforesaid, goes armed, or engages or
offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely
to cause death, shall be punished with imprisonment of either description for a term which may extend to
two years, or with fine, or with both.",
159,"Affray.—When two or more persons, by fighting in a public place, disturb the public peace, they
are said to “commit an affray”.",
160,"Punishment for committing affray.—Whoever commits an affray, shall be punished with
imprisonment of either description for a term which may extend to one month, or with fine which may
extend to one hundred rupees, or with both.",
166,"Public servant disobeying law, with intent to cause injury to any person.—Whoever, being a
public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct
himself as such public servant, intending to cause, or knowing it to be likely that he will by such
disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which
may extend to one year, or with fine, or with both.
IIIustration
A, being an officer directed by law to take property in execution, in order to satisfy a decree pronounced in Z's favour by a
Court of Justice, knowingly disobeys that direction of law, with the knowledge that he is likely thereby to cause injury to Z. A
has committed the offence defined in this section.",
166A,"Public servant disobeying direction under law.—Whoever, being a public servant,—
(a) knowingly disobeys any direction of the law which prohibits him from requiring the
attendance at any place of any person for the purpose of investigation into an offence or any other
matter, or
(b) knowingly disobeys, to the prejudice of any person, any other direction of the law regulating
the manner in which he shall conduct such investigation, or
(c) fails to record any information given to him under sub-section (1) of section 154 of the Code
of Criminal Procedure, 1973 (2 of 1974), in relation to cognizable offence punishable under section
326A, section 326B, section 354, section 354B, section 370, section 370A, section 376, section 376A,
section 376B, section 376C, section 376D, section 376E or section 509,
shall be punished with rigorous imprisonment for a term which shall not be less than six months but
which may extend to two years, and shall also be liable to fine.",
166B,"Punishment for non-treatment of victim.—Whoever, being in charge of a hospital, public or
private, whether run by the Central Government, the State Government, local bodies or any other person,
contravenes the provisions of section 357C of the Code of Criminal Procedure, 1973 (2 of 1974), shall be
punished with imprisonment for a term which may extend to one year or with fine or with both.]",
167,"Public servant framing an incorrect document with intent to cause injury.—Whoever, being
a public servant, and being, as 2 [such public servant, charged with the preparation or translation of any
document or electronic record, frames, prepares or translates that document or electronic record] in a
manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely
that he may thereby cause injury to any person, shall be punished with imprisonment of either description
for a term which may extend to three years, or with fine, or with both.",
168,"Public servant unlawfully engaging in trade.—Whoever, being a public servant, and being
legally bound as such public servant not to engage in trade, engages in trade, shall be punished with
simple imprisonment for a term which may extend to one year, or with fine, or with both.",
169,"Public servant unlawfully buying or bidding for property.—Whoever, being a public servant,
and being legally bound as such public servant, not to purchase or bid for certain property, purchases or
bids for that property, either in his own name or in the name of another, or jointly, or in shares with
others, shall be punished with simple imprisonment for a term which may extend to two years, or with
fine, or with both; and the property, if purchased, shall be confiscated.",
170,"Personating a public servant.—Whoever pretends to hold any particular office as a public
servant, knowing that he does not hold such office or falsely personates any other person holding such
office, and in such assumed character does or attempts to do any act under colour of such office, shall be
punished with imprisonment of either description for a term which may extend to two years, or with fine,
or with both.",
171,"Wearing garb or carrying token used by public servant with fraudulent intent.—Whoever,
not belonging to a certain class of public servants, wears any garb or carries any token resembling any
garb or token used by that class of public servants, with the intention that it may be believed, or with the
knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be
punished with imprisonment of either description for a term which may extend to three months, or with
fine which may extend to two hundred rupees, or with both.",
171A,"“Candidate”, “Electoral right” defined.—For the purposes of this Chapter—
[(a) “candidate” means a person who has been nominated as a candidate at any election;] (b) “electoral right” means the right of a person to stand, or not to stand as, or to withdraw from
being, a candidate or to vote or refrain from voting at an election",
171B,"Bribery.—(1) Whoever—
(i) gives a gratification to any person with the object of inducing him or any other person to
exercise any electoral right or of rewarding any person for having exercised any such right; or
(ii) accepts either for himself or for any other person any gratification as a reward for exercising
any such right or for inducing or attempting to induce any other person to exercise any such right,
commits the offence of bribery:
Provided that a declaration of public policy or a promise of public action shall not be an offence
under this section.
(2) A person who offers, or agrees to give, or offers or attempts to procure, a gratification shall be
deemed to give a gratification.
(3) A person who obtains or agrees to accept or attempts to obtain a gratification shall be deemed to
accept a gratification, and a person who accepts a gratification as a motive for doing what he does not
intend to do, or as a reward for doing what he has not done, shall be deemed to have accepted the
gratification as a reward.",
171C,"Undue influence at elections.—(1) Whoever voluntarily interferes or attempts to interfere
with the free exercise of any electoral right commits the offence of undue influence at an election.
(2) Without prejudice to the generality of the provisions of sub-section (1), whoever—
(a) threatens any candidate or voter, or any person in whom a candidate or voter is interested,
with injury of any kind, or
(b) induces or attempts to induce a candidate or voter to believe that he or any person in whom he
is interested will become or will be rendered an object of Divine displeasure or of spiritual censure,
shall be deemed to interfere with the free exercise of the electoral right of such candidate or voter, within
the meaning of sub-section (1).
(3) A declaration of public policy or a promise of public action or the mere exercise or a legal right
without intent to interfere with an electoral right, shall not be deemed to be interference within the
meaning of this section.",
171D,"Personation at elections.—Whoever at an election applies for a voting paper on votes in the
name of any other person, whether living or dead, or in a fictitious name, or who having voted once at
such election applies at the same election for a voting paper in his own name, and whoever abets,
procures or attempts to procure the voting by any person in any such way, commits the offence of
personation at an election.
1
[Provided that nothing in this section shall apply to a person who has been authorised to vote as
proxy for an elector under any law for the time being in force in so far as he votes as a proxy for such
Elector.]",
171E,"Punishment for bribery.—Whoever commits the offence of bribery shall be punished with
imprisonment of either description for a term which may extend to one year, or with fine, or with both:
Provided that bribery by treating shall be punished with fine only.
Explanation.—“Treating” means that form of bribery where the gratification consists in food, drink,
entertainment, or provision.",
171F,"Punishment for undue influence or personation at an election.—Whoever commits the
offence of undue influence or personation at an election shall be punished with imprisonment of either
description for a term which may extend to one year or with fine, or with both.",
171G,"False statement in connection with an election.—Whoever with intent to affect the result of
an election makes or publishes any statement purporting to be a statement of fact which is false and which
he either knows or believes to be false or does not believe to be true, in relation to the personal character
or conduct of any candidate shall be punished with fine.",
171H,"Illegal payments in connection with an election.—Whoever without the general or special
authority in writing of a candidate incurs or authorises expenses on account of the holding of any public
meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the
purpose of promoting or procuring the election of such candidate, shall be punished with fine which may
extend to five hundred rupees:
Provided that if any person having incurred any such expenses not exceeding the amount of ten
rupees without authority obtains within ten days from the date on which such expenses were incurred the
approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority
of the candidate",
171I,"Failure to keep election accounts.—Whoever being required by any law for the time being in
force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an
election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.]",
172,"Absconding to avoid service of summons or other proceeding.—Whoever absconds in order
to avoid being served with a summons, notice or order proceeding from any public servant legally
competent, as such public servant, to issue such summons, notice or order, shall be punished with simple
imprisonment for a term which may extend to one month, or with fine which may extend to five hundred
rupees, or with both;
or, if the summons or notice or order is to attend in person or by agent, or to 1 [produce a document or
an electronic record in a Court of Justice], with simple imprisonment for a term which may extend to six
months, or with fine which may extend to one thousand rupees, or with both.",
173,"Preventing service of summons or other proceeding, or preventing publication thereof.—
Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any
summons, notice or order proceeding from any public servant legally competent, as such public servant,
to issue such summons, notice or order,
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
or intentionally removes any such summons, notice or order from any place to which it is lawfully
affixed,
or intentionally prevents the lawful making of any proclamation, under the authority of any public
servant legally competent, as such public servant, to direct such proclamation to be made,
shall be punished with simple imprisonment for a term which may extend to one month, or with fine
which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent, or 2 [to produce a
document or electronic record in a Court of Justice] with simple imprisonment for a term which may
extend to six months, or with fine which may extend to one thousand rupees, or with both.",
174,"Non-attendance in obedience to an order from public servant.—Whoever, being legally
bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice,
order, or proclamation proceeding from any public servant legally competent, as such public servant, to
issue the same,
intentionally omits to attend at that place or time, or departs from the place where he is bound to
attend before the time at which it is lawful for him to depart, shall be punished with simple imprisonment for a term which may extend to one month, or with fine
which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of
Justice, with simple imprisonment for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both.
Illustrations
1
(a) A, being legally bound to appear before the [High Court] at Calcutta, in obedience to a subpoena issuing from that
Court, intentionally omits to appear. A has committed the offence defined in this section.
(b) A, being legally bound to appear before a 2 [District Judge], as a witness, in obedience to a summons issued by that
[District Judge] intentionally omits to appear. A has committed the offence defined in this section.",
174A,"Non-appearance in response to a proclamation under section 82 of Act 2 of 1974.—
Whoever fails to appear at the specified place and the specified time as required by a proclamation
published under sub-section (1) of section 82 of the Code of Criminal Procedure, 1973 shall be punished
with imprisonment for a term which may extend to three years or with fine or with both, and where a
declaration has been made under sub-section (4) of that section pronouncing him as a proclaimed
offender, he shall be punished with imprisonment for a term which may extend to seven years and shall
also be liable to fine.",
175,"Omission to produce document to public servant by person legally bound to produce it.—
Whoever, being legally bound to produce or deliver up any 4 [document or electronic record] to any public
servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple
imprisonment for a term which may extend to one month, or with fine which may extend to five hundred
rupees, or with both;
or, if the 4 [document or electronic record] is to be produced or delivered up to a Court of Justice, with
simple imprisonment for a term which may extend to six months, or with fine which may extend to one
thousand rupees, or with both.
Illustration
A, being legally bound to produce a document before a 5 [District Court], intentionally omits to produce the same. A has
committed the offence defined in this section.",
176,"Omission to give notice or information to public servant by person legally bound to give
it.—Whoever, being legally bound to give any notice or to furnish information on any subject to any
public servant, as such, intentionally omits to give such notice or to furnish such information in the
manner and at the time required by law, shall be punished with simple imprisonment for a term which
may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the notice or information required to be given respects the commission of an offence, or is
required for the purpose of preventing the commission of an offence, or in order to the apprehension of an
offender, with simple imprisonment for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both;
6
[or, if the notice or information required to be given is required by an order passed under
sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of
either description for a term which may extend to six months, or with fine which may extend to one
thousand rupees, or with both.]",
177,"Furnishing false information.—Whoever, being legally bound to furnish information on any
subject to any public servant, as such, furnishes, as true, information on the subject which he knows or
has reason to believe to be false shall be punished with simple imprisonment for a term which may extend
to six months, or with fine which may extend to one thousand rupees, or with both; or, if the information which he is legally bound to give respects the commission of an offence, or is
required for the purpose of preventing the commission of an offence, or in order to the apprehension of an
offender, with imprisonment of either description for a term which may extend to two years, or with fine,
or with both.",
178,"Refusing oath or affirmation when duly required by public servant to make it.—Whoever
refuses to bind himself by an oath 4 [or affirmation] to state the truth, when required so to bind himself by
a public servant legally competent to require that he shall so bind himself, shall be punished with simple
imprisonment for a term which may extend to six months, or with fine which may extend to one thousand
rupees, or with both.",
179,"Refusing to answer public servant authorised to question.—Whoever, being legally bound to
state the truth on any subject to any public servant, refuses to answer any question demanded of him
touching that subject by such public servant in the exercise of the legal powers of such public servant,
shall be punished with simple imprisonment for a term which may extend to six months, or with fine
which may extend to one thousand rupees, or with both.",
180,"Refusing to sign statement.—Whoever refuses to sign any statement made by him, when
required to sign that statement by a public servant legally competent to require that he shall sign that
statement, shall be punished with simple imprisonment for a term which may extend to three months, or
with fine which may extend to five hundred rupees, or with both.",
181,"False statement on oath or affirmation to public servant or person authorised to
administer an oath or affirmation.—Whoever, being legally bound by an oath 4 [or affirmation] to state
the truth on any subject to any public servant or other person authorized by law to administer such oath
4
[or affirmation], makes, to such public servant or other person as aforesaid, touching that subject, any
statement which is false, and which he either knows or believes to be false or does not believe to be true,
shall be punished with imprisonment of either description for a term which may extend to three years, and
shall also be liable to fine.",
182,"False information, with intent to cause public servant to use his lawful power to the
injury of another person.—Whoever gives to any public servant any information which he knows or
believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such
public servant—
(a) to do or omit anything which such public servant ought not to do or omit if the true state of
facts respecting which such information is given were known by him, or
(b) to use the lawful power of such public servant to the injury or annoyance of any person, shall be punished with imprisonment of either description for a term which may extend to six months, or
with fine which may extend to one thousand rupees, or with both.",
183,"Resistance to the taking of property by the lawful authority of a public servant.—Whoever
offers any resistance to the taking of any property by the lawful authority of any public servant, knowing
or having reason to believe that he is such public servant, shall be punished with imprisonment of either
description for a term which may extend to six months, or with fine which may extend to one thousand
rupees, or with both.",
184,"Obstructing sale of property offered for sale by authority of public servant.—Whoever
intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant,
as such, shall be punished with imprisonment of either description for a term which may extend to one
month, or with fine which may extend to five hundred rupees, or with both.",
185,"Illegal purchase or bid for property offered for sale by authority of public servant.—
Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or
bids for any property on account of any person, whether himself or any other, whom he knows to be
under a legal incapacity to purchase that property at that sale, or bids for such property not intending to
perform the obligations under which he lays himself by such bidding, shall be punished with
imprisonment of either description for a term which may extend to one month, or with fine which may
extend to two hundred rupees, or with both.",
186,"Obstructing public servant in discharge of public functions.—Whoever voluntarily obstructs
any public servant in the discharge of his public functions, shall be punished with imprisonment of either
description for a term which may extend to three months, or with fine which may extend to five hundred
rupees, or with both",
187,"Omission to assist public servant when bound by law to give assistance.—Whoever, being
bound by law to render or furnish assistance to any public servant in the execution of his public duty,
intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which
may extend to one month, or with fine which may extend to two hundred rupees, or with both;
and if such assistance be demanded of him by a public servant legally competent to make such
demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing
the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with
or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple
imprisonment for a term which may extend to six months, or with fine which may extend to five hundred
rupees, or with both.",
